ApplicantID,Industry,CompanyName,JobDescription,Position,Salary,YearsOfExperience
27426,education,kidsisland preschool,teaching the student manage classroom monthly report daily info to parents weekly lesson plan fieldtrip and event classroom arragement,lead teacher,6500000,3
27432,konstruksi konstruksi,cv duta prima teknik cv bonanza,sebagai asisstant manager saya bertanggung jawab atas semua pekerjaan yang ada di lapangan dari perhitungan volume schedule as build drawing dan berdiskusi dengan konsultan pengawas sebagai site manager saya bertugas melaksanakan dan mengawasi seluruh kegiatan proyek mulai dari proses perencanaan pemasukan dokumen pelaksanaan di lapangan menyusun dokumen laporan dan pengurusan termyn proyek dalam tugas ini saya dibantu oleh pelaksana lapangan drafter dan admin proyek,asistant manager site manager,4500000,4
27433,escalator dan elevator,pt pillar utama contrindo,motong besi motong kayu pengelasan pengukuran konek kabel perawatan elevator berkala,mekanik pemasangan baru,2600000,2
27435,manufactured,pt taehang indonesia,managed and developt all customer neededcreate report weekly and monthlyselling and maintenance product,marketing,6300000,1
27436,pos,kantor pos jemur andayani,magang pkl,pelayanan,0,0
27439,bank apartemen,bank mega kantor pengelola apartment sahid sudirman, ,credit monitoring and reporting tenant relation,4750000,10
27441,kontruksi,pt waskita karya,tugas staf teknik membuat schedule kerja monitoring pekerjaan proyek merencanakan kebutuhan pembelian dan penggunaan bahan bangunan proyektugas pelaksana proyek pelaksana box culvert pelaksana timbunan pelaksana barrier pelaksana overpass pelaksana pagar row,staff teknik pelaksana proyek,60000000,2
27447,perkapalan,pt karimun sembawang shipyard,projeck transocean,asst technical engineer,3300000,0
27449,jasa medis ,rs mitra keluarga kenjeran surabaya,menyeimbangkan akun pasien dan mengambil pembayaran untuk layanan yang diberikan meninjau tagihan dan klaim untuk informasi yang akurat memasukkan data ke dalam basis data perusahaan menangani email masuk dan keluar dan surat fisik koreksi gaji karyawan memelihara semua file staf dan pasien dalam database perusahaan menyiapkan laporan tagihan dan dokumen lain untuk diberikan kepada lembaga pemerintah negara bagian atau federal sesuai kebutuhan mengidentifikasi dan menyelesaikan masalah dan ketidakakuratan dalam entri tanggal dan berinteraksi secara luas dengan pasien dokter perwakilan kebijakan dan orang lain yang diperlukan untuk mengumpulkan pembayaran menyusun dan membuat laporan keuangan membuat rekonsiliasi bank fix asset ap farmasi ap lab menyusun dan membuat laporan pph me,staf general accounting,4500000,2
27462,agency,the hatch,content media sosial strategi branda reporting analisi brand,content specialist,6000000,2
27464,pelayanan kesehatan,rumah sakit royal surabaya,mengerjakan transaksi pasien bpjs pribadi dan asuransi menerima pembayaran dari pasien menghitung laporan pendapatan harian menyetor uang yang masuk ke bagian keuangan,kasir,2500000,1
27465,holiday pagkage securitas  trading  shipping  cargo culinary,tour and travel malang ptrifan financindo surabaya tbk pt pelayaran tempuran emas tbk pisang coklat,canvasising give brochure for mall visitorexplane about pagkage service contactingpreparing meet with potential investors explane about service this company looking graph candle execution buy and sale by application target sharing potensial investor to goal update ship schedule to all relation in my area papua region service via reguler and tol lauthandle one shipment for every week tonase and cargo full communication arrangement process that aims to provide information about goods or services term condition trusted expedition etc in relation to satisfying relation customer needs and wants follow up on services to provide satisfaction to consumers maintaining good relationships help custumer to stuffing cargo until end process by phone ensure that all processes related to the sales process are running properly inform items loaded via email check si shipping instructions to document staff give billling copy daily report every morning and after close office planning marketing strategyshopping for material needscookingpromosian on social media,canvasting broker sales liner mkt owner,20987500,2
27469,leasing,pt finansia multi finance,screening kandidatfilling data karyawanmengurus administrasi karyawanmelakukan psikotest admin mendata asset kantor,hr ga staff personnel administration,4200000,1
27471,automotive property property pelayaran property,pt sumber berlian motors pt pondok tjandra indah cv fays realty bali pttanto intim line ptindraco,menangani segala budget dan promosi gimmick pameran untuk support penjualan tim sales product mitsubishi city car truck double cabin area kalimantan selatan penjualan rumah tanah ruko milik developer pt pondok tjandra indah mengkoordinasi penjualan product villatel bali hideaway villas daun lebar ubud mahesha pandawa villas spa untuk area jawa timur dengan memimpin orang tim sales marketing pelayaran untuk menangani muatan surabaya ambon penjualan apartment suncity sidoarjo dengan target jual unit per bulan,manager marketing marketing manager marketing marketing marketing,5777600,3
27477,banking,pt bank muamalat indonesia,processing debit card transactional weekly distributing markering collateral to groceries make an investation letter,internship in consumer liabilities division,0,0
27490,building management parking it,pt fokus bersama indoglobal,conducting legal research filing and recording all legal documents trademark and copyrights registration at directorate general of intellectual property rights managing and monitoring company licenses providing legal advice to bod and other divisions to identify legal risks in connection with business plans assisting in mediations and negotiations on behalf of the company bod and shareholders in connection with company activity filing and recording all company legal documents research on laws and regulations for company compliance for its business strategy assisting and giving directions to other divisions in order to obtain licenses for the establishment of company subsidiary assisting in legal due diligent preparation for acquisition drafting agreement document translation power of attorney application letters circular shareholder resolution company internal policy decree of director legal opinion legal summary on laws and regulations,legal industrial relation manager,15000000,0
27493,restaurant jasa retail,pt griya miesejati ramorindo artha pt trikomsel,  ,staff kitchen staff replenish customer service,2450000,10
27494,perbankan,pt bank rakyat indonesia tbk,menyortir kelayakan uang edar,sortir,2500000,1
27500,office furniture manufacturing shipping transportation for palm oil and coal sectoral in paiton energy east java jasa kepelabuhan sungai dan danau,pt matahari alka pt sinarmas lda maritime slm pt kepid technology,work description hrga responsible for handling personnel matters such as things that related to other department or division which include absences leaves warning letter check and update employee turn over and database monthly providing assistance and support for other departments that related to the hr and ga matters responsible for making monthly reports base on employee data base responsible for handling goal setting meeting with the management developing specific goals and plans to prioritize organize and accomplish controlling and make sure that the payroll system is ready for the employee perform recruitment process from start to finish along with the evaluation ensuring the fulfillment of human needs in each section to achieve its targets handling raining such as internal or external training for all employees prepared and check medical claim reimbursement for all employee weekly controlling handling make sure and prepared all documents are relevant with the company policy and legal matters responsible for managing matters related to employment such as em ployment termination solving solution among employee or employ disputes control and perform maintenance on operational equipment tools companies for supporting the company operations understanding knowledge about iso handling job description performance appraisal maintain handling legal document such as company license permit company brand handling cooperation agreement with distributor analyze agreement terms employee contracts and analyze company policy monthly controlling legal aspects and management handling maintaining the period of validity of agreement up date data about company inventory or assets making plans and coordinating the work and activities for others handling budgeting for hr and ga matters analy zing and make decision for reasonable budget to the management developing interpersonal and relationship skills developing objectives and strategies provide coaching developing and consultation guiding establish and maintaining interpersonal relationship directing and motivating subordinates handling ga matters such as controlling operational vehicle daily and weekly checking and control office stationery every month managing park and garden parking space handling food supply chain for all employees st rd shifts handling factory waste and all of the agreement terms and provide green office environment industrial relation handling industrial relation matters between employees and the management handling and managing industrial matters with the union spsi serikat pekerja seluruh indonesia with the management or workers and with the disnaker or local government such as employment termination employment contract and or agreement relation with the union in cikarang area collective labor agreement pkb and pb handling legal disputes with other people or community outside the office area understanding the labor law making agreements and make decision for the terms occasionally regarding any issues that occured either it with the union and or with the local community achievements collateral agreement between the union spsi serikat pekerja seluruh ind and the company pt matahari alka in jakarta for the period of gap analysis competency for employee production technical skill handled industrial relation and settled dispute between an employees with the company until mediation process with the disnaker work description hrga manage control handling and responsible for handling human resources matters which include administration for absences leaves warning letter employee database check and update employee turnover and database monthly providing assistance and support for other that related to the hr matters responsible for making monthly human resources reports manpower planning organization salary structure handling payroll recruitment process induction developing specific goals and plans to prioritize organize and accomplish ensuring the fulfillment of human needs in each section to achieve its targets handling training such as internal or external training for all employees prepared and check medical claim reimbursement for all emp loyee weekly bpjs and jamsostek make sure and prepared all documents are relevant with the company policy and legal matters company license permit maintenance on equipment for supporting the company operations handling job description kpi jo analysis and performance appraisal maintain and analyze company policy monthly controlling legal aspects maintain the period of validity of agreement update data about company inventory or as developing interpersonal and relationship skills developing objectives and strategies provide coaching developing and consultation guiding establish and maintaining interpersonal relationship directing and motivating subordinates handling ga matters such as maintain and controlling operational vehicle daily and weekly checking control and maintain office facilities such as stationery monthly basis electrical parking space ticketing work permit for foreign people rptka imta handling nsurance agreement terms and provide green office environment industrial relation handling managing and responsible for matters related to industrial relation such as employment termination employment contract and or agreement relation with the union in paiton energy area east java prepare collective labor agreement pkb and pb problem solving among employee or employ disputes internal disputes between employees and the management external disputes with other that related with the union make good relation and connection with the disnaker and the local government regarding any information and condition for the company and the union discuss with union fspmi federasi serikat pekerja metal ind every once month regarding any issues and or any outstanding that has not been solved in the category of informal meeting discussion and official meeting biparty forum have good knowledge about the labor law achievements collateral agreement between the union fspmi federasi serikat pekerja metal ind and the company group pt mbp maritim batubara pertama in surabaya paiton energy for the period of company regulation pt slm in jakarta for the period of gap analysis competency for employee staff of pt slm soft skill work description hrga manage control handling and responsible for handling human resources matters which include administration for warning letter employee database check and update employee turnover and database monthly providing assistance and support for other departments that related to the hr matters responsible for making monthly human resources reports manpower planning organization salary structure handling payroll developing specific goals and plans to prioritize organize and accomplishment of hr system make sure and prepared all documents are relevant with the company policy and legal matters company license permit maintenance on equipment for supporting the company operations handling job description kpi job analysis and performance appraisal maintain and analyze company policy monthly controlling legal aspects maintaining the period of validity of agreement update data about company inventory or assets developing interpersonal and relationship skills developing objectives and strategies provide coaching developing and consultation guiding establish and maintaining interpersonal relationship directing and motivating subordinates handling ga matters such as maintain and controlling operational vehicle daily and weekly checking control and maintain office facilities such as stationery monthly basis electrical parking space ticketing work permit for foreign people rptka imta handling insurance agreement terms and provide green office environment industrial relation handling managing and responsible for matters related to industrial relation such as employment termination employment contract collective labor agreement pb solving solution among employee or employ disputes internal disputes between employees and the management external disputes with other that related with the union make good relation and connection with the disnaker and the local government and have good knowledge about the labor law achievements company regulation for the period of and gap analysis competency for employee staff ho site area soft skill hr design system,hrga spv hrga asst manager hrga ir manager hr manager,14250000,6
27505,land transportation expor  impor rent car manufacturing,pt hiba utama pt pantos logistics indonesia pt bara bentala indonesia pt jabaku karaba technologies,menangani absensi karyawan yang akan berkaitan dengan jumlah gaji yang diterima menangani klaim kecelakaan kerja klaim pengobatan dan klaim santunan kelahiran anak yang akan berkaitan dengan jamsostek menangani penerimaan siswa pkl pelayanan yang berkaitan dengan bidang human resources lainnya menangani invoice dan dokumen impor barang untuk disettle dan diserahkan ke kantor pusat untuk ditagihkan kepada customer dalam hal ini customer utama yaitu pt lg electronics serta customer lainnya di luar pt lg electronics menangani pelayanan yang berkaitan dengan bpjs kesehatan bpjs ketenagakerjaan melakukan control terhadap kontrak pengemudi karyawan menangani rekrutmen pengemudi karyawan bertanggung jawab terhadap absensi penginputan cuti serta izin pengemudi karyawan melakukan tanggung jawab controlling yang berkaitan dengan fungsi hrd yaitu bertanggung jawab terhadap proses penggajian karyawan bertanggung jawab terhadap hal hal yang berkaitan dengan bpjs kesehatan bpjs ketenagakerjaan bertanggung jawab melakukan control terhadap perjanjian kerja karyawan bertanggung jawab menangani rekrutmen karyawan bertanggung jawab menangani hubungan industrial bertanggung jawab terhadap reward punishment karyawan bertanggung jawab terhadap tingkat kehadiran karyawan bertanggung jawab terhadap penerimaan siswa magang pkl,hr staff staff commercial impor senior staff hr hr spv,4825000,6
27507,restoran dan pelayanan jasa ,pt lets go gelato indonesia,mengkoordinasikan seluruh team yang berhubungan dengan kegiatan operasional dari produksi sampai ke toko agar berjalan dengan baik memberikan pelatihan rutin melalui agenda kunjungan yang telah di rencanakan meningkatkan sales penjualan dan performa tiap tiap team di setiap cabang merencakan jadwal pengiriman produk dari pusat ke seluruh cabang menerima report penjualan setiap harinya dan memantau kondisi naik turunnya omzet membuat forcasting deadline pengiriman mingguan hingga bulanan untuk produk dikirim ke seluruh cabangmengecek administrasi laporan sari seluruh toko melakukan opening store ke berbagai kota hingga memberikan pelatihan sampai toko tersebut berjalan dengan lancar mengecek jadwal absensi bulanan yang diajukan oleh supervisor toko kepada manager pengambilan keputusan jika hrd tidak mampu untuk merekrut karyawan yang cukup baik manager dapat berperan ahli dalam merekrut kandidat yang kualified,manager operational,5200000,3
27515,perbankan perbankan perbankan perbankan,bank central asia tbk bank central asia tbk bank central asia tbk bank uob indonesia,learning and training program officer development program odp in the learning center of pt bank central asia tbk get to know the profile culture and values of the company be familiar with credit policies and regulatory requirements and to ensure full compliance with internal and external requirements on banking activities manage and maintain portfolio of sme banking customers above rp million rp billion by extending professional and customized financial and banking services and effectively retaining quality business relationships explore new business opportunities in the retail banking sme sector through various business networks and channels and by deepening business penetration in existing portfolio achieve business targets through identifying and realizing business opportunities in retail lending trade financing and other related financial solutions under bank lending guidelines identify and minimize credit risk prepare thorough financial analysis credit proposals regular credit reviews in accordance to bank guidelines and policies be familiar with credit policies and regulatory requirements and to ensure full compliance with internal and external requirements on banking activities manage and maintain portfolio of commercial banking customers above rp billion rp billion by extending professional and customized financial and banking services and effectively retaining quality business relationships explore new business opportunities in the commercial banking sector through various business networks and channels and by deepening business penetration in existing portfolio achieve business targets through identifying and realizing business opportunities in commercial lending trade financing and other related financial solutions under bank lending guidelines identify and minimize credit risk prepare thorough financial analysis credit proposals regular credit reviews in accordance to bank guidelines and policies be familiar with credit policies and regulatory requirements and to ensure full compliance with internal and external requirements on banking activities manages personnel and office of asemka sub branch promoting and marketing the branch and its products responsible for developing business and profit of the branch monitoring sales targets and revenue ensure operational activities in compliance with company policies and procedures meeting with clients and resolving any problems or complaints maintain fruitful relationships with current customers and establish good relationships with new ones develop and oversee sales and marketing strategies manage daily operations especially customer service and finance activities and make improvements as needed,officer development program account officer sme relationship manager commercial assistant vice president,12825000,9
27518,hospitality,palm park hotel surabaya,pre opening general manager palm park hotel surabaya palm park hotel surabaya is fresh and stylish hotel for smart travelers who are looking for convenience and great value for money palm park hotel surabaya is located on east surabaya with just few minutes to famous tourism destinations suramadu bridge mosque of sunan ampel and mosque cheng ho palm park hotel surabaya provides guest rooms restaurant bar kids zone internet zone game zone meeting rooms and ballroom with maximum capacity up to persons stay happy and stay connected with our free hours wi fi internet service throughout the hotel lead the transition of project into smooth launching and opening the hotel setting ground for whole new concept lead the important pre opening phase of the hotel manage day to day hotel operations,general manager,40000000,0
27519,property business process outsourcing,meikarta ati business group,operating sales activities and prospecting clients operating client daily finance and accounting,sales executive finance accounting staff,5400000,1
27522,government education education,kementerian perdagangan universitas tarumanagara universitas tarumanagara,help to manage employee attendance promotion of employee employee leave employee work goals organizing staffing data etc help to handle and manage needed data for accreditation help to manage and handle needed data for the audit,internship at biro organisasi kepegawaian assistant of accreditation faculty of psychology universitas tarumanagara assistant of audit internal iso faculty of psychology universitas tarumanagara,2633333,0
27524,perkebunan,ptpn xi,melaksanakan kegiatan di divisi sdm seperti hubungan ketenagakerjaan dan hubungan industrial,internship di divisi sdm,1000000,0
27525,farmasi,pt darya varia laboratoria tbk,follow up peserta coaching survei vendors dan follow up vendors memilih dan membeli perlengkapan gimmick untuk keperlun culture perusahaan,hrd intern,1500000,0
27526,retail holding  trading,pt sumber alfaria trijaya pt airmas international,memastikan dan bertanggung jawab atas bisnis proses dari werehouse gudang hingga konsumen akhir melalui toko atas area yang dimiliki mendukung kegiatan operasional perusahaan melalui pengadaan barang dan jasa yang dibutuhkan dalam melakukan tugasnya ga banyak melakukan koordinasi dengan departemen lain untuk mengetahui kebutuhan mereka serta merencanakan anggaran pengadaan barang atau jasa beserta biaya pemeliharaannya dan mengurusi segala hal perizinan yang menyangkut perusahaan,supervisor legal general affair,4750000,2
27530,assessment center,priadi psychological fingerprints,have duties in areas of marketing and advertising to create various materials such as product labels or brochures that provide information about company offerings,creative designer,3500000,0
27536,education center,artv school of public speaking,directing and take video learning progress students of artv school edit videos for publicity students created social media graphics for events postings,videographer and editing,0,0
27539,kontraktor ,cv chitara indah persada,pengawas lapangan,pengawas,2000000,7
27542,food  bavarage food  bavarage food  bavarage food  bavarage food  bavarage food  bavarage food  bavarage,golf graha family jade imperial eatro d cost seafood go donut  bakery mie mapan mie adonai,taking order melayani custamer upselling membahas saran yang diperoleh atau diberikan oleh semua tamu dengan departemen kepala dengan tujuan memberikan pelayanan yang maksimal untuk semua tamu yang dapat meningkatkan citra perusahaan membuat laporan operasional tentang produktifitas dan efisiensi disetiap departemen mengadakan morning dept head briefing untuk kegiatan yang akan dilakukan setiap harinya memeriksa kesiapan dari seluruh departmen untuk setiap kegiatan operasional memeriksa dan membuat suatu evaluasi laporan harian mengenai hasil penjualan disetiap closing operation mengontrol mengawasi dan menyetujui pembeliaan barang atau bahan bahan untuk kelancaran operasional mengkoordinir pengawasan pemakain pemeliharaan dan perawatan barang barang milik perusahaan yang ada disetiap unitnya dan menjadi tanggung jawab penuh unit tersebut mengadakan morning dept head briefing untuk kegiatan yang akan dilakukan setiap harinya memeriksa kesiapan dari seluruh departmen untuk setiap kegiatan operasional memeriksa dan membuat suatu evaluasi laporan harian mengenai hasil penjualan disetiap closing operation mengontrol mengawasi dan menyetujui pembeliaan barang atau bahan bahan untuk kelancaran operasional mengkoordinir pengawasan pemakain pemeliharaan dan perawatan barang barang milik perusahaan yang ada disetiap unitnya dan menjadi tanggung jawab penuh unit tersebut mengurus dan mengatur seluruh kegiatan sesuai dengan kebijakan dan sop yang telah ditentukan menguasai persediaan barang kebutuhan melakukan pembelian sesuai perencanaan menguasai umum bertanggung jawab terhadap operasional restoran mengurus dan mengatur seluruh kegiatan operasional sesuai dengan kebijakan dan sop yang telah ditetapkan menjaga stok barang kebutuhan melakukan pembelian sesuai perencanaan secara umum bertanggung jawab terhadap operasional restoran menjalankan restaurant business plan yang tekah ditetapkan termasuk staffing recruiting training councelling waging supervising and stuffing barang yang dibutuhkan untuk menunjang kegiatan operasional menjalankan target proyeksi sales dan profit marketing strategi budget keuangan menyiapkan laporan secara periodic mingguan termasuk staff control food bev control cost control inventory control dan sales menjalankan mengorganisir marketing strategi yang telah ditetapkan termasuk juga event promosi skema discount untuk meningkatkan jumlah customers dan sales meng handle kebutuhan dan complaints customers,waiter caotain supervidor supervidor manager manager manager,4471428,13
27549,komputer manufaktur baterai food,pt pacific agung trijaya pt cipta metalindo pt vizz indonesia pt indonesia bahari lestari,instalasi maintenance service kunjungan ke klien lakukan semua hal yg berkaitan dengan server pc nb printer jaringan wifi dll pembuatan pp sop kebijakan instruksi kerja penggajian bpjs tenaga kerja bpjs kesehatan inventarisasi maintenance perangkat it dll pembuatan pp sop kebijakan instruksi kerja penggajian inventarisasi bpjs kesehatan tenaga kerja maintenance perangkat it dll pembuatan pp sop kebijakan instruksi kerja penggajian inventarisasi bpjs kesehatan tenaga kerja maintenance perangkat it dll,spv it mgr hrd it mgr hrd it mgr hrd it,12125000,16
27550,construction consultant architect,pt gemilang makmur jaya raya aigi architect  associates,become part of the drafting team coordinate with vendor offer material to clients and supervise the project become part of the drafting team coordinate with vendor offer material to clients and supervise the project,architectural drafter supervisor assistant architect,4000000,2
27552,advertising it it food and beverage,infomedia nusantara eikon technology vascomm solusi teknologi lazizaa rahmat semesta,manage and promote business relationship with new and existing customers interacting with new and curent customers promote all type of product based on clients need communicating proactively with customer representatives and responding to customer complaints interacting with operations business development and all other department as required to resolve customer complaints tracking maintaining and analyzing customer data work closely with regional sales manager or marketing department to design implement analyze and deploy new business processes manage partner relationships to increase business and identify new opportunities for company partnerships track all business development activities analyze quarterly progress and suggest new strategies based on findings work alongside regional sales manager to ensure specified territory is managed and effectively run and train sales team on affiliate relationships in each territory build and maintain successful relationships with partners expand market intelligence of health benefits industry to drive business forward oversee workflows for partner accounts manages partner communications for territory and resolves escalated issues or questions from partners driving new development initiatives from inception through launch including managing the product development launch process engaging with customers sales business unit marketing and other stakeholders to define the requirements and roadmap evaluating software and or hardware solutions owning the business execution plan for assigned products and solutions collaborating with business unit marketing and other teams for delivery of associated revenue and profitability goals identifying ongoing opportunities for operational efficiencies to ensure customer satisfaction continued revenue growth and increased market share communicating product vision and strategies to varied audiences including executives and cross functional teams driving quarterly business review with third party vendors to drive business objectives resolving escalated support issues on behalf of customers establishing and maintaining cross functional relationships with other resources including product development marketing sales network it finance legal and got to market demonstrate and ensure operational excellence through the training coaching disciplining and encouragement of general managers managers team leaders and team members conduct and attend meetings as required communicate complaints involving whataburger policy violations to senior area manager director of operations or human resources as appropriate partner with human resources in any investigations that arise in the area and work with hr to finalize and make decisions on any action to be taken work with the general manager hr team and or director of operations to develop and implement an effective human resources recruitment plan to accommodate growth and management succession in the area acting as direct resource for the hiring process serve as resource for manager candidates with human resources support and have final accountability for every management hire conduct routine visits to restaurants in his or her area to ensure each general manager is maintaining company standards if any deficiencies are found work with management and staff to clearly outline the problem areas and assist them in developing plan of action to correct problems in timely manner work with general manager and director of operations on new restaurant site selections and new restaurant budget planning manage the area financial accountability through reviewing critical reports adhering to the budgeted gross operating profit and evaluating the area combined expense plan to ensure overall operations meet whataburger financial goals coordinate specific activity to capture opportunities for increasing profitable sales with each general manager assume additional responsibilities as assigned,account executive business development product development manager area manager,6250000,5
27556,banking,pt bank bukopin pusat tbk,saya menyusun berkas nasabah yang ingin mendapat fasilitas kredit dari bank bukopin saya juga mengecek apakah objek jaminan yang di miliki nasabah telah absah atau belum,legal intern,2200000,0
27560,kesehatan mental terpadu,behave clinic,,child therapist,3500000,0
27561,ritel fashion fb fb,jrep richeese factory anugerah esa pangan,menangani team membuat po mengecek inventori membuat jadwal merekap absensi merchandise membuat po memanage team supaya tertib sip cek inventori membuat menangani badget daily weekly monthly yearly,manager manager manager finance and accounting,5100000,3
27562,electrical contractor contractor contractor contractor contractor,heru mechanikal electrical bali pt alkonusa tehnik inti pt anugerah abadi sentosa pt sapta pusaka graha nusantara pt gunung marmer raya pt fikawan ,membuat rencana kerja monitoring membuat laporan kerja harian dan mingguan membuat rencana kerja monitoring kerja membuat gambar kerja membuat as build drwaing membuat rab membuat rencana kerja membuat monitoring kerja membuat gambar kerja membuat as build drawing membuat rab membuat rencana kerja monitoring kerja membuat gambar kerja membuat as build drawing membuat rab membuat rencana kerja membuat monitoring kerja membuat laporan harian mingguan bulanan membuat gambar kerja membuat as build drawing pengawasan membuat rencana kerja membuat monitoring kerja mmebuat laporan harian mingguan bulanan membuat gambar kerja membuat as build drawing pengawasan,pengawas drafter engineer engineering mep engineer mep site mnager arsitek dan pengawas,5916666,5
27564,construction concrete manufacture manufacture,pt nindya karya pt waskita beton precast pt hilon indonesia pt sambros invesco international,observed the making of slabs on musi vi bridge in palembang city created test specimens of foam concrete assisted the contractor to design the construction reviewed the construction bidding of the building design controlled the quality of the results of construction work to fit the design assist the contractor to design the construction review the construction bidding of the building design control the quality of the results of construction work to fit the design,student internship student internship construction staff construction staff,2975000,0
27568,banking,pt bank rakyat indonesia persero tbk,investigate internal and eksternal electronic banking channel fraud draw up review agreement etc,manager,16711000,0
27573,propertyreal estate arsitek,pt tlatah gema anugrah freelancer,supervise the construction process starting from the casting work mechanical electrical installation to the architectural finishing process make design drawing to be presented to clients,field asistent supervisor drafter,1000000,1
27576,insurance telecomunication telecomunication insurance insurance multifinance insurance,pt asuransi jiwa adisarana wanaartha pt first wap pt graha informatika nusantara pt mandiri axa general insu pt prudential life assurance pt mandiri utama finance pt hanwha life insurance indonesia,assisting for drafting agreement for all of customers vendors and business partners preparing all of company legal documentation and conducting anti money laundering training contract drafting and or contract review for all of customers vendors and business partners supporting other department or function in their activies related to legal matters preparing all of company legal documentation and conducting legal basic training regularly supervision legal staff to support legal function in daily activities handling contract drafting and or contract review for all of customers vendors and business partners coordination to maintaining good partnership with telkom especially for finalize corporation agreement analysis and advisory services concerning various indonesian legal issues relating to business law supporting other department or function in their activities related to legal matters conducting mediation process for several dispute settlement and corporate license and or government liaison contract drafting and or contract review for all of customers vendors and business partners handling preparation of general meeting of shareholders annual or extra ordinary providing legal opinion especially for business action new product and or claim process providing legal issue report to group analysis and advisory services with internal legal team concerning various indonesian legal issues relating to business law and or insurance law supporting other department or function in their activities related to legal matters supporting for preparation annual report manage correspondence related to legal department and corporate secretary for bank mandiri and regulator assisting and accelerating preparation for fit and proper test bod and or boc in ojk assisting company to conduct all legal action related to litigation procedure and preparing all of company legal documentation assisting head of corporate legal to ensuring all legal matters related to corporate transaction and operational are going smoothly based applicable law contract drafting and or contract review handling preparation of general meeting of shareholders annual or extra ordinary providing legal opinion especially for business action and new product providing legal issue report to regional office analyze and advisory services related to business law and or insurance law supporting other department or function in their activities related to legal matters assisting and accelerating preparation for fit and proper test bod and or boc in ojk manage correspondence related to legal matters to regulator and preparing all of company legal documentation managing litigation department including all team member in their activities supervise to prepare all legal action related to litigation procedure ex legal opinion legal notice and or law suit represent the company and assisting litigation team member to conduct litigation process complaint handling from customer and or third parties related to business activities maintaining good relationship with related parties ex lawfirm police and other third parties manage correspondence related to litigation department to bank mandiri and regulator reporting litigation activities to senior management conducting legal training related to fiduciary guarantee execution and other legal issue to related department and function and supporting corporate legal and to prepare annual general meeting of shareholders assisting head of compliance department to develop company policies and or guideline related to applicable law in corporate and insurance activities analyze and mitigate the gap from regulations and ensure internal control from the company running well product review delivering compliance training related to insurance practice and regulation policy refreshment to all functions and sales force responsible to prepare and collect compliance report from related functions and submit the report to group and regulator in timely manner and assisting and communicate with regulators in order to carry out the licensing process in accordance with applicable regulations,legal compliance staff corporate legal officer corporate legal officer legal supervisor corporate legal senior executive deputy department head of litigation compliance manager,7828571,6
27577,call center,pt teleperformance indonesia,melayani pelanggan dan memberikan saran serta solusi masalah konsumen,call center,2500000,0
27580,legal services legal services  gaslink supplier  financial technology and it operations  digital entertainment ,mulyana abra and advocates  kenny wiston law offices pt gagas energi indonesia  pt mobile coin asia pt webtv asia indonesia ,perform and drafting for general corporate mattershandled litigation cases acted as legal consultant to assisted pgn and be part of construction and gas pipeline project team to drafting commercial contract and project inspection minutes solved all legal issues emanating from the procurement of goods material services to infrastructure construction for pgn drafting all the vendors procurement contract and monitored all the vendor contract prepared and reviewed the tender documents and ensure all the documents are in line of company procedures drafting and reviewed coporate documentsprovide to give legal advice and execute for any corporate actions and casesliaising with bank indonesia in relation to financial technology area to completed the legal and business supporting documents the lisencing of electronic money handling wide range of legal related matters ranging from drafting to reviewing regulation agreement mou that are related to business company both in english and bahasa provide legal advice guidance or analysis on all kinds of legal matters to management and project teamsetc,junior associate junior associate legal and procurement legal and compliance legal executive,8600000,2
27588,broadcasting entertainment retail malldept store building management,pt clarinta makobu utama makobu fm pt mentari nawa satria kowloon palace surabaya pt ramayana lestari sentosa tbk,am as radio announcer and producer create many radio commercials creative idea for radio script etc handle all events create concept to attract the target consumers to always come and feel comfortable in event held am also responsible for managing profit and loss statement event budget and operational telents cost efficiency create the company official website and create promotions consistently on various official social media companies handle locations in east java ciplaz sidoarjo cahaya dept store bg junction surabaya ramayana dept store jmp surabaya ramayana dept store thr surabaya ramayana dept store dinoyo mall malang ramayana dept store alun alun malang ramayana dept store krian ramayana dept store gresik and ramayana dept store kediri am also responsible for managing profit and loss statement budget and operational cost efficiency create continuous event at the mall to attract people to come and shop so it becomes benefit for the company and tenants create communication and promotion through various social media platforms or online media,radio announcer marketing manager building and marketing operations manager,10333333,9
27593,dagang alat sembahyang event organizer food  beverages makanan,kurnia jaya meet your market pagoda resto,membuat hio wangi membuat minyak sembahyang membuat lilin sembahyang membuat perlengkapan sembahyang lainnya mengantar barang pesanan ke customer membantu penjualan di toko kontrol keuangan yang dikelola oleh kasir untuk setiap event yang diselenggarakan festival jajanan nusantara moi festival mangga durian pik avenue mencari tenant untuk foodcourt baru mengelola operasional foodcourt mengatur schedule cleaning service membuat aturan untuk tenant mencari support partner gofood gopay grabfood membuat event di area foodcourt nonton bareng motogp nonton bareng piala dunia hubungan dengan lingkungan sekitar operasional harian resto mulai dari test rasa harian purchasing stocking atur jadwal staff membuat laporan omzet per bulan rekapitulasi rekening koran membangun relasi dengan support partners gofood gopay ovo dan bank,buruh harian bendahara eo manager operasional foodcourt manager operasional,4833333,4
